date,hour,temp
2014/8/24,15,30.4
2014/8/24,16,29.8
2014/8/24,17,29.1
2014/8/24,18,28.5
2014/8/24,19,28.5
2014/8/24,20,28.2
2014/8/24,21,28.5
2014/8/24,22,28.1
2014/8/24,23,27.8
2014/8/25,0,27.6
2014/8/25,1,27
2014/8/25,2,26.8
2014/8/25,3,26.6
2014/8/25,4,26.6
2014/8/25,5,26.5
2014/8/25,6,26.3
2014/8/25,7,26.4
2014/8/25,8,26.9
2014/8/25,9,25.8
2014/8/25,10,25
2014/8/25,11,26
2014/8/25,12,27.5
2014/8/25,13,27.7
2014/8/25,14,28.7
2014/8/25,15,28.6
2014/8/25,16,28.1
2014/8/25,17,27.7
2014/8/25,18,27.6
2014/8/25,19,27.5
2014/8/25,20,26.9
2014/8/25,21,26.7
2014/8/25,22,26.5
2014/8/25,23,26.7
2014/8/26,0,26.7
2014/8/26,1,26.7
2014/8/26,2,26.4
2014/8/26,3,26.2
2014/8/26,4,25.6
2014/8/26,5,25.1
2014/8/26,6,25.3
2014/8/26,7,25.4
2014/8/26,8,26
2014/8/26,9,26.4
2014/8/26,10,26.2
2014/8/26,11,26.2
2014/8/26,12,25.9
2014/8/26,13,26
2014/8/26,14,26.2
2014/8/26,15,24.3
2014/8/26,16,24.4
2014/8/26,17,24.5
2014/8/26,18,23.6
2014/8/26,19,23.8
2014/8/26,20,23.8
2014/8/26,21,23.8
2014/8/26,22,23.7
2014/8/26,23,23.4
2014/8/27,0,22
2014/8/27,1,22.2
2014/8/27,2,21.9
2014/8/27,3,22.1
2014/8/27,4,21.5
2014/8/27,5,20.9
2014/8/27,6,20.7
2014/8/27,7,20.4
2014/8/27,8,20.5
2014/8/27,9,20.9
2014/8/27,10,21.1
2014/8/27,11,21
2014/8/27,12,21.7
2014/8/27,13,22
2014/8/27,14,22.3
2014/8/27,15,22.4
2014/8/27,16,22.3
2014/8/27,17,21.4
2014/8/27,18,21
2014/8/27,19,20.6
2014/8/27,20,20.4
2014/8/27,21,20.2
2014/8/27,22,20.2
2014/8/27,23,20
2014/8/28,0,20.1
2014/8/28,1,19.8
2014/8/28,2,19.8
2014/8/28,3,20.2
2014/8/28,4,19.9
2014/8/28,5,20.1
2014/8/28,6,19.9
2014/8/28,7,20.2
2014/8/28,8,20.7
2014/8/28,9,21.3
2014/8/28,10,22
2014/8/28,11,21.6
2014/8/28,12,21.2
2014/8/28,13,21.7
2014/8/28,14,22.3
2014/8/28,15,22.7
2014/8/28,16,22.2
2014/8/28,17,21.9
2014/8/28,18,21.4
2014/8/28,19,21.5
2014/8/28,20,21.6
2014/8/28,21,21.8
2014/8/28,22,21.5
2014/8/28,23,21.3
2014/8/29,0,21.5
2014/8/29,1,21.4
2014/8/29,2,21.1
2014/8/29,3,21
2014/8/29,4,21.2
2014/8/29,5,21.3
2014/8/29,6,21.5
2014/8/29,7,21.6
2014/8/29,8,22.7
2014/8/29,9,23.4
2014/8/29,10,24.3
2014/8/29,11,25.1
2014/8/29,12,25.4
2014/8/29,13,25.8
2014/8/29,14,25.6
2014/8/29,15,25.7
2014/8/29,16,24.4
2014/8/29,17,24.1
2014/8/29,18,24
2014/8/29,19,24.1
2014/8/29,20,23.7
2014/8/29,21,23.5
2014/8/29,22,22.9
2014/8/29,23,22.7
2014/8/30,0,22.7
2014/8/30,1,21.4
2014/8/30,2,21
2014/8/30,3,20.9
2014/8/30,4,20.3
2014/8/30,5,20.2
2014/8/30,6,20.1
2014/8/30,7,20.8
2014/8/30,8,21.6
2014/8/30,9,22.8
2014/8/30,10,24
2014/8/30,11,24.5
2014/8/30,12,25
2014/8/30,13,25.2
2014/8/30,14,25
